OTU ID	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285	KEGG_Pathways
Cholinergic synapse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Nervous System; Cholinergic synapse
Chromosome	29695	9072	21114	18083	28656	51955	22639	39953	31747	8577	20226	12747	50647	125736	28906	7655	15831	19111	2213	25101	4651	12421	18744	23948	12655	71284	4853	7683	22328	35099	22222	21051	84849	12280	7105	86716	42941	58642	54080	80391	47489	14747	17834	26611	2647	68482	12769	13661	36502	18302	Genetic Information Processing; Replication and Repair; Chromosome
Chronic myeloid leukemia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cancers; Chronic myeloid leukemia
Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	11	3	1	8	Organismal Systems; Environmental Adaptation; Circadian rhythm - plant
Citrate cycle (TCA cycle)	10716	3172	8067	6944	13586	18626	10848	12029	16634	3991	7183	4147	11328	34174	7921	2617	4607	5560	701	7347	1890	3102	9491	7210	3661	16397	1918	2567	7926	16524	6184	5986	20740	2659	2137	50010	9789	17657	15748	21729	13716	4703	6257	11801	1411	39166	7331	5176	9973	5448	Metabolism; Carbohydrate Metabolism; Citrate cycle (TCA cycle)
Clavulanic acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Biosynthesis of Other Secondary Metabolites; Clavulanic acid biosynthesis
Colorectal cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Human Diseases; Cancers; Colorectal cancer
Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Complement and coagulation cascades
Cyanoamino acid metabolism	6049	1359	5478	3239	8133	12275	5813	7939	7869	2106	4705	2097	10204	27702	5427	1430	2602	2856	425	3702	647	2155	2533	3592	1988	12109	784	1075	3907	7012	4020	3959	15379	2233	1228	15958	7576	8737	8284	26493	10217	1803	2825	3660	416	12524	4389	2531	5996	2782	Metabolism; Metabolism of Other Amino Acids; Cyanoamino acid metabolism
Cysteine and methionine metabolism	20928	7300	15680	12410	20686	32914	14482	26661	20064	5398	15077	9119	35636	81111	18047	4578	12057	14242	1546	20301	3513	7753	13628	19041	10024	48248	3352	4907	14237	21214	15008	15929	51786	8212	5275	50294	29322	47470	42307	49418	29987	11627	13798	18976	1795	39635	9295	10364	27104	14616	Metabolism; Amino Acid Metabolism; Cysteine and methionine metabolism
Cytochrome P450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Enzyme Families; Cytochrome P450
Cytokine receptors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine receptors
Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; Cytokine-cytokine receptor interaction
Cytoskeleton proteins	7104	1667	4730	5408	6512	12516	3540	10173	4693	1500	4491	2436	13679	35300	7641	1752	3251	3896	555	4515	1225	3600	1578	4519	2218	20629	1226	1567	6015	8526	6198	4659	25325	3718	1577	20547	12862	10819	11081	23146	12397	2648	3873	2415	613	16225	2162	2221	8839	3261	Cellular Processes; Cell Motility; Cytoskeleton proteins
Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Cytosolic DNA-sensing pathway
D-Alanine metabolism	2052	782	1596	1732	2292	2800	1373	2205	1870	485	1559	1110	3015	7789	2144	713	1185	1551	137	1971	379	735	1708	1792	1070	3955	375	626	1427	2170	1261	1432	4706	643	470	4581	2349	4477	3882	4391	3025	1164	1471	1941	172	3619	958	1058	2464	1404	Metabolism; Metabolism of Other Amino Acids; D-Alanine metabolism
D-Arginine and D-ornithine metabolism	55	38	312	27	548	0	2	7	7	0	167	13	18	150	28	9	31	10	0	2	46	1	22	2	1	1	1	6	18	78	20	14	62	9	6	2	63	43	32	86	124	0	150	5	7	2	62	2	10	0	Metabolism; Metabolism of Other Amino Acids; D-Arginine and D-ornithine metabolism
D-Glutamine and D-glutamate metabolism	2914	1043	1787	1896	2291	4782	2442	3538	3441	888	2114	1196	4454	11116	2158	584	1651	1967	222	2787	503	1113	1507	2619	1412	5850	477	811	2172	3951	1966	2141	6816	950	716	11347	3442	6455	5623	6478	4269	1640	1870	2014	295	8920	1464	1419	3618	2011	Metabolism; Metabolism of Other Amino Acids; D-Glutamine and D-glutamate metabolism
DNA repair and recombination proteins	55961	19314	40337	32333	52389	94252	41694	73800	56626	15555	38661	26290	96951	239356	55003	14974	33218	40294	4267	54975	8708	22734	34904	51275	27733	134799	9616	13996	38675	63401	41620	43177	155511	22366	14349	155237	78596	127632	114429	123283	85642	32322	35059	45559	5113	122509	24289	27609	73875	39557	Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins
DNA replication	13106	4333	8585	7192	10352	25798	11028	19514	14939	4208	8931	5922	24957	56537	13644	3468	7457	9292	1050	12167	2113	5507	7147	11419	6219	34865	2300	3385	8583	15285	10483	10191	37754	5922	3406	36545	20839	28142	26141	29320	19470	7726	8004	9303	1173	28805	5932	6014	17354	8741	Genetic Information Processing; Replication and Repair; DNA replication
DNA replication proteins	24399	7525	16611	15279	21858	47212	20107	35780	28247	7760	16159	10290	44775	105362	24226	5922	13269	16437	1906	21471	3803	10254	13391	20121	10862	63158	3992	6016	15911	28163	19182	18169	70840	10922	6110	66209	38050	49694	46257	55441	36894	12526	14120	18056	2034	52227	10389	10848	31409	15434	Genetic Information Processing; Replication and Repair; DNA replication proteins
Dilated cardiomyopathy (DCM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cardiovascular Diseases; Dilated cardiomyopathy (DCM)
Dioxin degradation	1419	554	1459	623	1879	2067	624	1776	503	241	884	947	2957	7032	1765	489	1046	1351	126	1910	205	415	1221	1740	957	3861	333	389	766	1421	1215	1372	4345	632	435	4554	2228	4256	3770	1544	2220	1088	954	1765	79	3603	280	800	2351	1350	Metabolism; Xenobiotics Biodegradation and Metabolism; Dioxin degradation
Drug metabolism - cytochrome P450	393	274	158	62	64	6	89	174	82	21	285	451	319	1338	512	232	482	438	31	881	43	42	1665	839	413	394	160	129	279	547	193	455	398	23	159	2263	77	2178	1675	324	559	439	451	2371	51	1834	318	631	713	791	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450
Drug metabolism - other enzymes	6452	1858	6397	4192	10023	11453	4976	8290	7014	1883	4307	2391	9998	24507	5647	1353	3120	3914	460	4767	992	2894	3569	4499	2518	14148	976	1653	4370	7688	4673	4146	16305	2561	1408	20456	8768	10971	10263	13399	9522	2525	3411	4420	486	16149	2815	2724	7157	3418	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - other enzymes
ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; ECM-receptor interaction
Electron transfer carriers	365	58	1007	67	1689	803	26	698	45	54	173	88	961	1227	491	261	49	64	25	31	26	20	1851	121	76	1601	166	300	138	138	434	201	1259	326	61	58	1157	241	608	685	731	256	323	2844	40	52	133	357	217	94	Unclassified; Cellular Processes and Signaling; Electron transfer carriers
Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Excretory System; Endocrine and other factor-regulated calcium reabsorption
Endocytosis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Transport and Catabolism; Endocytosis
Energy metabolism	14213	2913	11479	10278	17598	32384	13965	22596	20808	5439	8981	3662	24657	61934	13938	3434	4325	5791	1050	4814	2351	6849	12560	5694	2825	37570	2532	4697	12976	21128	11739	7305	45195	6950	2623	56962	24214	12650	15669	37734	24526	5780	7984	19419	1471	44891	7934	5807	12850	3964	Unclassified; Metabolism; Energy metabolism
Epithelial cell signaling in Helicobacter pylori infection	1507	391	784	1030	861	2795	1256	2060	1740	468	1064	418	2706	9357	1099	234	681	1073	110	1011	286	724	1239	940	531	3803	261	402	1336	1960	1131	954	6065	624	315	4557	2244	2256	2205	4062	2974	566	1028	1757	157	3606	699	602	1941	697	Human Diseases; Infectious Diseases; Epithelial cell signaling in Helicobacter pylori infection
ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signal Transduction; ErbB signaling pathway
Ether lipid metabolism	47	2	282	12	546	0	0	0	2	0	30	0	3	102	1	1	6	5	0	3	14	13	24	0	1	3	0	0	1	8	18	10	7	9	2	0	6	1	24	136	176	0	31	2	8	37	22	6	12	16	Metabolism; Lipid Metabolism; Ether lipid metabolism
Ethylbenzene degradation	482	54	703	736	1468	878	965	586	1727	321	456	224	396	952	616	264	108	47	28	10	102	339	934	80	44	59	110	209	503	770	169	138	198	20	28	2267	35	117	140	588	784	82	303	1304	28	1798	277	213	159	45	Metabolism; Xenobiotics Biodegradation and Metabolism; Ethylbenzene degradation
Fat digestion and absorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Digestive System; Fat digestion and absorption
Fatty acid biosynthesis	7969	1740	7366	6048	11578	15541	7218	11230	9175	2519	5346	3081	14911	38240	9741	2737	3146	4783	613	4227	1556	4656	5746	4036	2581	19297	1548	2312	7278	11900	6419	4830	25596	3513	1562	34101	12142	9116	9930	18486	13887	3109	4544	7941	715	26917	4089	2884	8827	3259	Metabolism; Lipid Metabolism; Fatty acid biosynthesis
Fatty acid elongation in mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Lipid Metabolism; Fatty acid elongation in mitochondria
Fatty acid metabolism	5260	2181	4045	3166	5565	4812	2888	4157	3910	985	3337	2909	5826	18164	2746	919	3949	3995	340	7142	674	1546	6301	6731	3318	7934	1004	1352	3599	4663	2671	4395	8888	1048	1457	11414	3534	17210	13855	5366	7021	3857	3487	9176	412	9076	2338	3807	7720	5565	Metabolism; Lipid Metabolism; Fatty acid metabolism
Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Fc epsilon RI signaling pathway
Fc gamma R-mediated phagocytosis	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Fc gamma R-mediated phagocytosis
Flagellar assembly	3739	366	7718	3483	16087	158	352	295	2011	116	4273	945	281	4895	164	476	1018	130	56	20	694	1286	9372	669	36	251	689	2034	5721	1849	566	283	2999	246	83	144	86	1122	1225	40293	11062	322	2721	14904	123	206	890	1946	1139	503	Cellular Processes; Cell Motility; Flagellar assembly
Flavone and flavonol biosynthesis	16	2	9	0	0	0	0	0	44	0	69	23	2	399	1	0	30	1	2	3	1	0	5	8	1	0	0	0	18	28	0	0	63	0	1	0	1	13	13	1269	57	2	13	0	3	2	12	5	5	1	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavone and flavonol biosynthesis
Flavonoid biosynthesis	31	0	51	21	4	4	105	30	16	8	22	5	335	350	60	32	36	10	6	1	2	1	0	0	25	7	3	1	8	63	31	78	67	2	1	0	3	3	3	64	25	0	26	8	7	0	22	6	58	16	Metabolism; Biosynthesis of Other Secondary Metabolites; Flavonoid biosynthesis
Fluorobenzoate degradation	1	5	5	0	0	0	0	1	0	0	0	6	31	0	4	0	0	0	0	0	4	0	253	10	0	2	4	6	1	2	0	0	7	8	1	0	35	20	24	0	15	4	30	390	4	0	90	68	3	61	Metabolism; Xenobiotics Biodegradation and Metabolism; Fluorobenzoate degradation
Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication; Focal adhesion
Folate biosynthesis	7128	2885	4057	3158	4756	11791	7482	8008	10903	2662	5447	2894	8340	29673	3622	1118	4306	5901	478	7595	1221	2335	5888	6875	3872	12112	1297	1998	6015	10101	4023	5072	17331	1633	1764	27221	6149	17343	14506	12685	10198	4471	4932	7339	658	21416	4420	4156	9566	5540	Metabolism; Metabolism of Cofactors and Vitamins; Folate biosynthesis
Fructose and mannose metabolism	19188	4085	27394	8443	38947	41445	19158	29165	24133	6767	14694	8890	36731	95523	27982	7032	7877	10795	1430	9013	2719	8896	12373	9073	5273	49242	3102	5035	18909	27132	16237	12014	65787	9294	3876	70462	31120	23461	24526	47969	33602	8265	11426	17427	1630	55619	8091	7637	21624	6501	Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism
Function unknown	22886	8329	18886	10950	25719	40034	16996	30107	23015	6523	18067	11076	39072	102166	23725	6659	12786	14747	1718	20419	3919	8785	32522	19769	10402	53133	4003	6758	16476	27607	17038	16793	65616	9342	5721	75213	33642	48919	44240	61541	37143	11412	17189	46840	2253	59207	13585	14494	27903	15778	Unclassified; Poorly Characterized; Function unknown
G protein-coupled receptors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; G protein-coupled receptors
GTP-binding proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; GTP-binding proteins
Galactose metabolism	19350	5951	15158	7525	18323	37960	15690	27936	20358	6008	13052	10176	35520	83556	23277	5858	11507	12441	1605	19112	1805	6411	7620	17795	9287	50253	2707	3483	14177	23658	15834	15754	55546	8706	5294	70293	29711	44870	40502	50175	28421	11944	9972	10553	1067	55109	8979	9302	25420	13748	Metabolism; Carbohydrate Metabolism; Galactose metabolism
Gastric acid secretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Digestive System; Gastric acid secretion
General function prediction only	67213	19115	59902	40250	86383	119050	58421	88108	78836	20877	45924	28379	115036	302235	67611	18847	33439	42338	4946	51376	10360	28479	51558	48923	26946	150552	11087	17762	49067	85877	48620	46312	191326	25944	15101	220800	89850	119218	111459	169808	109700	33186	39941	70348	6368	174303	33883	30909	78996	37805	Unclassified; Poorly Characterized; General function prediction only
Geraniol degradation	429	112	360	34	804	1022	693	363	1066	255	362	70	145	111	66	54	15	108	27	54	101	17	3012	92	61	53	98	274	498	1151	156	81	65	56	49	4514	191	203	232	357	488	84	438	4328	45	3523	1031	625	21	374	Metabolism; Metabolism of Terpenoids and Polyketides; Geraniol degradation
Germination	635	17	999	518	1755	1610	66	1364	99	102	539	29	1721	5314	870	83	93	272	48	7	67	40	0	2	0	3220	58	0	493	496	830	305	4323	622	115	24	2068	27	535	3636	1552	22	353	0	55	40	2	32	754	4	Unclassified; Cellular Processes and Signaling; Germination
Glioma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cancers; Glioma
Glutamatergic synapse	2258	650	1186	1379	1535	3523	2005	2581	3049	727	1404	847	2939	9054	1655	439	1141	1289	165	1806	264	753	739	1724	898	4046	348	436	1726	3529	1433	1473	5634	635	496	11303	2188	4341	3749	4433	3253	1114	1141	996	170	8859	1217	1006	2550	1352	Organismal Systems; Nervous System; Glutamatergic synapse
Glutathione metabolism	3868	1617	1579	1916	1364	6310	3106	4842	4709	1215	2620	2567	5290	12721	4728	1421	2525	2937	307	4644	497	1132	6319	4349	2255	8032	684	1243	2487	5321	2629	3047	8083	1284	1110	18137	4649	10961	9253	6926	4825	2579	2768	8786	366	14171	2562	2931	4932	3603	Metabolism; Metabolism of Other Amino Acids; Glutathione metabolism
Glycan bindng proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signaling Molecules and Interaction; Glycan bindng proteins
Glycan biosynthesis and metabolism	218	92	66	38	41	594	454	294	750	170	251	51	78	139	29	9	11	11	14	2	57	8	2051	122	7	28	98	361	206	633	90	35	109	14	28	2288	127	167	162	209	276	167	399	3231	67	1770	432	415	43	79	Unclassified; Metabolism; Glycan biosynthesis and metabolism
Glycerolipid metabolism	7655	1655	8259	3589	12105	18165	4934	14722	6259	2120	4745	2696	19362	40585	11306	2362	3156	4595	653	4050	1398	4052	4890	3898	2264	29524	1243	2124	6648	7315	8337	5287	31251	5612	1807	13904	19225	9408	11842	24212	14462	3340	4274	5917	694	11294	2440	2562	9373	2947	Metabolism; Lipid Metabolism; Glycerolipid metabolism
Glycerophospholipid metabolism	10269	2522	8182	6525	11523	18419	7816	14540	10531	2883	6387	3685	19806	47229	11008	2890	4180	5638	717	5777	1646	4700	8351	5752	3335	26218	1628	2954	7873	10142	7807	6432	32276	4731	2019	18447	16316	13699	14213	31312	17877	4113	5487	11326	865	14756	4661	4338	11608	4354	Metabolism; Lipid Metabolism; Glycerophospholipid metabolism
"Glycine, serine and threonine metabolism"	17469	5720	14301	10471	21162	25018	13159	19077	18686	4740	11551	7337	24261	68284	12908	3702	10020	11658	1194	16580	2685	6100	12701	15386	8178	32229	2720	3533	11709	20436	10859	12447	40923	5205	4111	54513	18101	38834	33471	37883	26060	8823	10391	16679	1494	43286	8261	8890	21424	12146	"Metabolism; Amino Acid Metabolism; Glycine, serine and threonine metabolism"
Glycolysis / Gluconeogenesis	24181	7861	22930	14137	31304	35577	18443	28777	22255	6042	16718	12096	43678	98069	25132	7417	14391	17039	1823	23330	3381	9022	17694	21671	12125	51860	4202	5345	18598	25919	16991	19245	59245	8647	5918	66056	29745	54448	48122	58176	36411	14422	14514	22862	1790	52453	9209	12056	31309	16761	Metabolism; Carbohydrate Metabolism; Glycolysis / Gluconeogenesis
Glycosaminoglycan biosynthesis - chondroitin sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate
Glycosaminoglycan degradation	1142	92	431	90	68	5540	4823	2559	6963	1653	898	229	2394	2199	839	311	181	106	145	28	49	88	351	60	238	714	236	247	1109	4721	713	804	96	2	166	20216	12	255	420	2413	1125	892	362	520	25	15767	1546	357	624	56	Metabolism; Glycan Biosynthesis and Metabolism; Glycosaminoglycan degradation
Glycosphingolipid biosynthesis - ganglio series	903	70	142	47	32	3637	2928	1602	4561	1062	565	132	707	522	499	158	54	62	91	18	44	69	335	20	94	482	154	73	856	3588	508	357	31	1	117	15724	7	158	277	792	750	605	209	432	17	12261	1308	294	341	50	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - ganglio series
Glycosphingolipid biosynthesis - globo series	2148	369	1300	374	1714	6274	3758	3491	5755	1439	1343	608	2676	7684	1898	469	714	736	183	902	216	788	356	874	490	4224	432	243	1746	5195	1622	1176	4331	624	420	20258	2088	2372	2515	6166	3033	1325	774	528	87	15823	2005	791	2105	672	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - globo series
Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Glycan Biosynthesis and Metabolism; Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
Glycosyltransferases	4862	1430	2993	2906	4542	9600	5588	6489	8442	1998	4011	2201	6599	21690	6187	1959	1506	3143	348	2479	1022	1253	7102	2158	1631	9389	752	1595	5066	9025	3353	2317	13766	1622	873	29426	6068	4986	5220	15247	8705	1688	3535	9376	543	23112	3728	2491	4400	1860	Metabolism; Glycan Biosynthesis and Metabolism; Glycosyltransferases
Glyoxylate and dicarboxylate metabolism	9435	2334	8722	5997	12587	15647	7495	11812	10786	2742	6609	3139	14516	42810	8153	2072	4083	4911	657	5516	1755	4088	8220	5561	2751	20014	1562	2290	7817	13741	6766	5591	27922	3560	1906	38598	12558	13819	13325	27664	15663	3713	6020	11552	1186	30419	4944	4051	10624	4295	Metabolism; Carbohydrate Metabolism; Glyoxylate and dicarboxylate metabolism
GnRH signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Endocrine System; GnRH signaling pathway
Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Environmental Information Processing; Signal Transduction; Hedgehog signaling pathway
Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Immune System; Hematopoietic cell lineage
Hepatitis C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Infectious Diseases; Hepatitis C
Histidine metabolism	12901	3566	8117	6959	10572	23082	12283	16549	16918	4340	9050	5294	21232	50937	12300	3536	6476	8222	968	10369	1975	4819	6553	9672	5238	26478	2164	3074	10302	16855	8703	9003	32401	4418	2903	45425	15577	23754	21469	31405	19279	6721	7382	8229	1252	35724	6411	5321	14980	7344	Metabolism; Amino Acid Metabolism; Histidine metabolism
Homologous recombination	18734	6603	12283	10326	15155	30941	14169	23638	18875	5217	12953	8904	31068	75783	17028	4732	11559	13697	1434	19444	2831	7664	10420	18139	9651	43048	3311	4679	13386	22036	13464	14726	48379	6919	4907	56978	24447	45162	39811	41378	27662	11852	11774	13565	1674	44877	8031	9209	24845	13928	Genetic Information Processing; Replication and Repair; Homologous recombination
Huntington's disease	439	121	744	63	1264	1388	577	972	787	224	345	148	1247	1301	765	162	65	177	46	59	85	30	903	94	101	1487	58	270	153	644	481	270	1165	327	84	2289	1136	125	369	685	610	65	328	1291	46	1801	422	263	260	90	Human Diseases; Neurodegenerative Diseases; Huntington's disease
Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cardiovascular Diseases; Hypertrophic cardiomyopathy (HCM)
Indole alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Biosynthesis of Other Secondary Metabolites; Indole alkaloid biosynthesis
Influenza A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Human Diseases; Infectious Diseases; Influenza A
